symbol,timestamp,open,high,low,close,volume
GME,2021-01-07T15:00:00Z,18.3736,18.47,18.15,18.275,894140
GME,2021-01-07T16:00:00Z,18.28,18.42,18.02,18.12,1465458
GME,2021-01-07T17:00:00Z,18.08,18.33,18.01,18.2502,30084
GME,2021-01-07T18:00:00Z,18.2501,18.46,18.08,18.25,24157
GME,2021-01-07T19:00:00Z,18.26,18.4,18.25,18.26,2847
GME,2021-01-07T20:00:00Z,18.38,18.43,18.34,18.4,3230
GME,2021-01-08T06:00:00Z,18.09,18.09,18.09,18.09,160
GME,2021-01-08T08:00:00Z,18.15,18.4,18.15,18.34,1228
GME,2021-01-08T09:00:00Z,18.1,18.4,18.1,18.33,13169
GME,2021-01-08T10:00:00Z,18.32,18.33,17.45,17.595,1053350
GME,2021-01-08T11:00:00Z,17.5712,17.86,17.08,17.57,1597335
GME,2021-01-08T12:00:00Z,17.55,17.63,17.35,17.55,529699
GME,2021-01-08T13:00:00Z,17.56,17.98,17.5,17.875,802769
GME,2021-01-08T14:00:00Z,17.87,17.88,17.44,17.6,654615
GME,2021-01-08T15:00:00Z,17.6185,17.927,17.6185,17.88,435943
GME,2021-01-08T16:00:00Z,17.89,17.9489,17.56,17.6899,1079144
GME,2021-01-08T17:00:00Z,17.69,17.9,17.69,17.9,22706
GME,2021-01-08T18:00:00Z,17.9,17.9,17.8,17.9,4858
GME,2021-01-08T19:00:00Z,17.86,18,17.85,17.97,5267
GME,2021-01-08T20:00:00Z,17.85,17.97,17.7,17.7,12199
GME,2021-01-11T05:00:00Z,17.5,17.5,17.1,17.13,1487
GME,2021-01-11T06:00:00Z,17.12,17.12,17.12,17.12,100
GME,2021-01-11T07:00:00Z,17.2,17.2,17.2,17.2,300
GME,2021-01-11T08:00:00Z,17.5,21.82,17.05,21.51,282226
GME,2021-01-11T09:00:00Z,21.51,21.8,17.1,19.2,903687
GME,2021-01-11T10:00:00Z,19.02,20.65,18.8,20.5,4598958
GME,2021-01-11T11:00:00Z,20.48,20.53,19.05,19.32,2473915
GME,2021-01-11T12:00:00Z,19.32,19.62,19.01,19.365,1457434
GME,2021-01-11T13:00:00Z,19.36,19.75,19.18,19.605,1292149
GME,2021-01-11T14:00:00Z,19.6,20.49,19.58,20.37,1488769
GME,2021-01-11T15:00:00Z,20.37,20.374,19.74,19.8425,1255290
GME,2021-01-11T16:00:00Z,19.84,19.93,19.65,19.93,1127209
GME,2021-01-11T17:00:00Z,19.94,20.12,19.8,19.93,23109
GME,2021-01-11T18:00:00Z,19.92,19.95,19.85,19.95,29369
