,BB,BB,BB,BB,BB,BB,AMC,AMC,AMC,AMC,AMC,AMC,GME,GME,GME,GME,GME,GME
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,
2020-12-15,8.21500015258789,8.289999961853027,8.199999809265137,8.270000457763672,8.270000457763672,1239439,2.829900026321411,2.9100000858306885,2.819999933242798,2.8873000144958496,2.8873000144958496,4740005,13.83240032196045,13.899999618530273,13.729999542236328,13.800000190734863,13.800000190734863,807367
2020-12-15,8.265000343322754,8.3100004196167,8.239999771118164,8.3100004196167,8.3100004196167,1305127,2.884999990463257,2.890000104904175,2.859999895095825,2.865000009536743,2.865000009536743,2715318,13.795000076293945,13.90999984741211,13.770099639892578,13.869999885559082,13.869999885559082,916052
2020-12-16,8.350000381469727,8.350000381469727,8.170000076293945,8.239999771118164,8.239999771118164,2340008,2.869999885559082,2.890000104904175,2.759999990463257,2.7890000343322754,2.7890000343322754,8569696,13.960000038146973,14.180000305175781,13.579999923706055,13.864999771118164,13.864999771118164,1865081
2020-12-16,8.239999771118164,8.279199600219727,8.1899995803833,8.199999809265137,8.199999809265137,906225,2.789400100708008,2.819999933242798,2.740000009536743,2.808000087738037,2.808000087738037,5504352,13.880000114440918,13.989999771118164,13.770000457763672,13.90999984741211,13.90999984741211,517856
2020-12-16,8.210000038146973,8.239999771118164,8.180000305175781,8.222200393676758,8.222200393676758,811423,2.809999942779541,2.809999942779541,2.7200000286102295,2.779900074005127,2.779900074005127,2967098,13.920000076293945,14.079999923706055,13.829999923706055,14.027600288391113,14.027600288391113,459548
2020-12-16,8.223799705505371,8.255000114440918,8.1899995803833,8.229999542236328,8.229999542236328,684595,2.7750000953674316,2.799999952316284,2.740000009536743,2.788800001144409,2.788800001144409,1909390,14.029999732971191,14.305000305175781,13.96500015258789,14.092000007629395,14.092000007629395,1049134
2020-12-16,8.225000381469727,8.260000228881836,8.199999809265137,8.23859977722168,8.23859977722168,794434,2.7850000858306885,2.7899999618530273,2.740000009536743,2.764699935913086,2.764699935913086,2170487,14.097999572753906,14.178799629211426,13.979999542236328,14.050000190734863,14.050000190734863,346290
2020-12-16,8.239999771118164,8.289999961853027,8.220000267028809,8.260000228881836,8.260000228881836,1021282,2.7699999809265137,2.7799999713897705,2.75,2.759999990463257,2.759999990463257,1553201,14.039999961853027,14.119999885559082,13.850199699401855,13.899999618530273,13.899999618530273,414612
2020-12-16,8.260000228881836,8.289999961853027,8.239999771118164,8.239999771118164,8.239999771118164,1264332,2.755000114440918,2.7850000858306885,2.75,2.7750000953674316,2.7750000953674316,1873725,13.90999984741211,13.920000076293945,13.75,13.850000381469727,13.850000381469727,865522
2020-12-17,8.300000190734863,8.335000038146973,8.0600004196167,8.119999885559082,8.119999885559082,4264483,2.799999952316284,2.8299999237060547,2.740000009536743,2.813499927520752,2.813499927520752,4802880,13.960000038146973,14.180000305175781,13.59000015258789,14.004599571228027,14.004599571228027,1810906
